symbol-id;symbol-en;symbol-fi;category
136;battery_2a;paristo;tekniikka muut
137;beach;ranta;matkustus
138;beach_bag;rantakassi;vaatteet tarvikkeet
139;beach_towel;rantapyyhe;matkustus
140;beads;helmet;vapaa-aika lelut
141;beak;nokka;eläimet ominaisuudet
142;beaker_1;dekantterilasi;tiede
143;beaker_2;dekantterilasi;tiede
144;beanbag;säkkituoli;vapaa-aika lelut
145;beans_on_toast;papuvoileipä;ruoka annokset
146;beansprouts;pavunversot;ruoka vihannekset ja salaatit
147;bear;karhu;eläimet nisäkkäät
148;bed_four_poster;pylvässänky;rakennukset huonekalut
149;bed_time;nukkumaanmenoaika;kuvaileva aika
150;bee_bumble;kimalainen;eläimet hämähäkit ja hyönteiset
151;bee_honey;mehiläinen;eläimet hämähäkit ja hyönteiset
152;beef;naudanliha;ruoka liha
153;beehive;mehiläispesä;eläimet elinympäristö
154;beer;olut;juomat
155;bees_nest;mehiläispesä;eläimet elinympäristö
156;beetle;koppakuoriainen;eläimet hämähäkit ja hyönteiset
157;beetroot;punajuuri;ruoka vihannekset ja salaatit
158;before;edessä;kuvaileva sijainti
159;begin_start;aloittaa;kuvaileva suunta
160;behind;takana;kuvaileva sijainti
161;bell;kello;rakennukset tarvikkeet
162;below;alla;kuvaileva sijainti
163;belt;vyö;vaatteet muut
164;bench;penkki;rakennukset puutarha ja maatila
165;bendy;taivutettava;tiede
166;bendy_1;taivuttaa;tiede
167;berry;marja;ruoka hedelmät
168;beside_next_to;vieressä;kuvaileva sijainti
169;between;välissä;kuvaileva sijainti
170;bib;ruokalappu;vaatteet muut
171;bicycle;polkupyörä;liikenne tieliikenne
172;big_mac_switch;kytkin;apuvälineet
173;big_wheel;maailmanpyörä;matkustus
174;bikini;bikinit;vaatteet muut
175;bin_bag;roskapussi;rakennukset tarvikkeet
176;bin_bags;roskapussit;rakennukset tarvikkeet
177;bingo;bingo;vapaa-aika pelit
178;bingo_marker;merkkauskynä;vapaa-aika pelit
179;bird;lintu;eläimet linnut
180;bird_bath;lintuallas;eläimet elinympäristö
181;bird_cage;lintuhäkki;eläimet elinympäristö
182;bird_feeder;lintulauta;eläimet elinympäristö
183;bird_seed;linnunsiemen;eläimet ruokinta
184;birthday_cake;syntymäpäiväkakku;juhlat välineet
185;birthday_card;syntymäpäiväkortti;juhlat välineet
186;biscuit_chocolate_chip;suklaakeksi;ruoka viljatuotteet ja leivonta
187;biscuits;keksit;ruoka viljatuotteet ja leivonta
188;black;musta;taide värit
189;blackberry;karhunvatukka;ruoka hedelmät
190;blackboard;liitutaulu;rakennukset laitteet
191;blackcurrant_juice;mustaherukkamehu;juomat
192;blackcurrants;mustaherukka;ruoka hedelmät
193;bladder;virtsarakko;terveys kehonosat
194;bladder_kidneys;virtsatiet;terveys kehonosat
195;blanket;huopa;rakennukset tarvikkeet
196;blanket_chest;säilytyslaatikko;rakennukset huonekalut
197;blender_drinks;tehosekoitin;ruoka välineet
198;bless_,_to;siunata;uskonto yleiset
199;blind;sokea;ihmiset kuvaileva
200;blind_2;sokea;ihmiset kuvaileva
201;blinds;sälekaihtimet;rakennukset tarvikkeet
202;blood_pressure;verenpaine;terveys terveydentila
203;blouse;pusero;vaatteet muut
204;blue;sininen;taide värit
205;blue_dark;tummansininen;taide värit
206;blue_light;vaaleansininen;taide värit
207;blusher;poskipuna;terveys hoitotarvikkeet
208;boat;vene;liikenne vesiliikenne
209;bobble_hat;tupsupipo;vaatteet muut
210;boccia;boccia;urheilu
211;boccia_chute;boccia-kouru;urheilu urheiluvälineet
212;body_outline;keho;terveys kehonosat
213;bolt;pultti;työkalut työpaja
214;bone;luu;eläimet ruokinta
215;bone_2;luu;terveys kehonosat
216;bonfire;kokko;rakennukset puutarha ja maatila
217;bonfire_night;juhannusyö;juhlat tapahtumat
218;book_end;kirjanpidin;rakennukset tarvikkeet
219;book_ends;kirjanpitimet;rakennukset tarvikkeet
220;book_shelf;kirjahylly;rakennukset huonekalut
221;bookcase;kirjahylly;rakennukset huonekalut
222;bootees;tossut;vaatteet muut
223;boots;saappaat;vaatteet muut
224;both;molemmat;kuvaileva määrä
225;bottom;alapuoli;kuvaileva sijainti
226;bottom_2;alimmainen;kuvaileva sijainti
227;bottom_3;peppu;terveys kehonosat
228;bow;rusetti;vaatteet tarvikkeet
229;bow_and_arrow;jousi ja nuoli;urheilu urheiluvälineet
230;bow_tie;solmuke;vaatteet tarvikkeet
231;bowl;kulho;ruoka välineet
232;bowler_1;keilaaja;urheilu
233;bowling;keilailu;urheilu
234;bowling_ball;keilapallo;urheilu urheiluvälineet
235;bowling_gutter;ränni;urheilu urheiluvälineet
236;bowling_pins;keilat;urheilu urheiluvälineet
237;bowling_spare;paikkoheitto;urheilu urheiluvälineet
238;bowling_strike;kaato;urheilu urheiluvälineet
239;boxer_shorts;bokserit;vaatteet muut
240;boxing_day;tapaninpäivä;uskonto juhlapäivä
241;bra;rintaliivit;vaatteet muut
242;bracelet_1;käsirengas;vaatteet korut
243;bracelet_2;käsirengas;vaatteet korut
244;brain;aivot;terveys kehonosat
245;branch;oksa;kasvit ja puut
246;brazil_nut;parapähkinä;ruoka pähkinät
247;bread;leipä;ruoka viljatuotteet ja leivonta
248;bread_crumbs;leivänmurut;ruoka viljatuotteet ja leivonta
249;bread_roll;sämpylä;ruoka viljatuotteet ja leivonta
250;bread_roll_2;sämpylä;ruoka viljatuotteet ja leivonta
251;bread_roll_3;sämpylä;ruoka viljatuotteet ja leivonta
252;bread_roll_filled;täytetty sämpylä;ruoka viljatuotteet ja leivonta
253;bread_roll_granary;kokojyväsämpylä;ruoka viljatuotteet ja leivonta
254;bread_slice;leipäviipale;ruoka viljatuotteet ja leivonta
255;bread_sliced;viipaloitu leipä;ruoka viljatuotteet ja leivonta
256;breafkfast_continental_1;aamiainen;ruoka annokset
257;breafkfast_continental_2;aamiainen;ruoka annokset
258;breafkfast_fried;aamiainen;ruoka annokset
259;break_,_to;rikkoa;kuvaileva tila
260;break_2;katkaista;kuvaileva tila
261;break_egg_,_to;rikkoa kananmuna;ruoka ruuanlaitto
262;break_time_1;tauko;työ ja koulu
263;break_time_2;välitunti;työ ja koulu
264;breakfast_1;aamiainen;ruoka annokset
265;breakfast_2;aamiainen;ruoka annokset
266;breakfast_3;aamiainen;ruoka annokset
267;breakfast_4;aamiainen;ruoka annokset
268;breakfast_5;aamiainen;ruoka annokset
269;breakfast_6;aamiainen;ruoka annokset
270;breakfast_time;aamiaisaika;kuvaileva aika
271;breakfast_time_1;aamiaisaika;kuvaileva aika
272;bricks;palikat;vapaa-aika lelut
273;bridle;suitset;eläimet eläintenhoito
274;briefcase_1;salkku;vaatteet tarvikkeet
275;briefcase_2;salkku;vaatteet tarvikkeet
276;bright;kirkasvalo;tekniikka muut
277;bright_room;valoisa huone;kuvaileva tila
278;broad_beans;härkäpavut;ruoka vihannekset ja salaatit
279;broccoli;parsakaali;ruoka vihannekset ja salaatit
280;broken;rikki;kuvaileva tila
281;broken_bone;murtunut luu;terveys terveydentila
282;brooch;rintaneula;vaatteet korut
283;broom;luuta;rakennukset tarvikkeet
284;broomstick;luudanvarsi;juhlat välineet
285;brother;veli;ihmiset suhteet
286;brown;ruskea;taide värit
287;brush_animal_,_to;turkin harjaus;eläimet eläintenhoito
288;brush_hair_,_to;harjata hiukset;terveys hoitotoimet
289;brush_teeth_,_to;harjata hampaat;terveys hoitotoimet
290;brussel_sprouts;ruusukaali;ruoka vihannekset ja salaatit
291;bubble_bath;kylpyvaahto;terveys hoitotarvikkeet
292;bubble_gum_-_blow;purukumi;ruoka jälkiruuat ja herkut
293;bubble_mixture;saippuakuplavesi;vapaa-aika lelut
294;bubble_wand;saippuakuplalaite;vapaa-aika lelut
295;bubble_wrap;kuplamuovi;työ ja koulu
296;bubbles;saippuakuplat;vapaa-aika lelut
297;bubbles_blow;puhaltaa saippuakuplia;vapaa-aika lelut
298;bucket;ämpäri;vapaa-aika lelut
299;buckle;solki;vaatteet tarvikkeet
300;bud;silmu;kasvit ja puut
301;budgie;undulaatti;eläimet linnut
302;buffalo;puhveli;eläimet nisäkkäät
303;bulb_holder;lampunpidin;tekniikka muut
304;bulb_holder_2;lampunpidin;tekniikka muut
305;bumpy;pomppuinen;kuvaileva muoto
306;bun_-_hot_cross;pulla;ruoka viljatuotteet ja leivonta
307;bun_currant;rusinapulla;ruoka viljatuotteet ja leivonta
308;bunk_beds;kerrossänky;rakennukset huonekalut
309;burn;palaa;terveys terveydentila
310;bus;bussi;vapaa-aika lelut
311;bus_double_decker;kaksikerrosbussi;liikenne tieliikenne
312;bus_single_decker;linja-auto;liikenne tieliikenne
313;bush;pensas;kasvit ja puut
314;busy;kiireinen;ihmiset kuvaileva
315;butter;voi;ruoka maitotuotteet
316;butterfly;perhonen;eläimet hämähäkit ja hyönteiset
317;butternut_squash;kurpitsa;ruoka vihannekset ja salaatit
318;button;nappi;vaatteet tarvikkeet
319;c;c;aakkoset
320;c_-_lower_case;c;aakkoset
321;cabbage;kaali;ruoka vihannekset ja salaatit
322;cable_tv;kaapelitv;tekniikka tv
323;cactus;kaktus;kasvit ja puut
324;cafe;kahvila;ruoka ruokailu
325;cafe_2;kahvila;ruoka ruokailu
326;cage;häkki;eläimet elinympäristö
327;cake;kakku;ruoka viljatuotteet ja leivonta
328;cake_bar;keksi;ruoka viljatuotteet ja leivonta
329;cake_case;muffinivuoka;ruoka välineet
330;cake_cup_cake;kuppikakku;ruoka viljatuotteet ja leivonta
331;cake_mix;kakkuainekset;ruoka viljatuotteet ja leivonta
332;cake_slice;kakkupala;ruoka viljatuotteet ja leivonta
333;cake_slice_2;kakkupala;ruoka viljatuotteet ja leivonta
334;cake_sponge;sokerikakku;ruoka viljatuotteet ja leivonta
335;cake_tin;kakkuvuoka;ruoka välineet
336;calculator;laskin;työ ja koulu
337;calendar;kalenteri;työ ja koulu
338;calendar_month;kalenterikuukausi;kuvaileva aika
339;calf;vasikka;terveys kehonosat
340;camel;kameli;eläimet nisäkkäät
341;camera;kamera;tekniikka media
342;camera_compact;järjestelmäkamera;tekniikka media
343;camera_slr;kamera;tekniikka media
344;can_opener;purkinavaaja;ruoka välineet
345;can_opener_electric;purkinavaaja;ruoka välineet
346;candle_2;kynttilä;juhlat välineet
347;candy_cane;karkkikeppi;ruoka pähkinät
348;candy_floss;hattara;ruoka jälkiruuat ja herkut
349;candy_hearts;karkkisydämet;ruoka jälkiruuat ja herkut
350;canoe;kanootti;liikenne vesiliikenne
351;cap;lippalakki;vaatteet muut
352;car;auto;liikenne tieliikenne
353;car_2;auto;liikenne tieliikenne
354;car_boot;tavaratila;liikenne tieliikenne
355;car_bumper;puskuri;liikenne tieliikenne
356;car_mechanic_1a;automekaanikko;ihmiset ammatit
357;car_mechanic_1b;automekaanikko;ihmiset ammatit
358;car_mechanic_2a;automekaanikko;ihmiset ammatit
359;car_mechanic_2b;automekaanikko;ihmiset ammatit
360;car_toy;leluauto;vapaa-aika lelut
361;car_transporter;autonkuljetusauto;liikenne tieliikenne
362;caravan;matkailuvaunu;liikenne tieliikenne
363;carbohydrates;hiilihydraatit;ruoka ruokavalio
364;card;kortti;juhlat välineet
365;cardboard;pahvi;työ ja koulu
366;care_assistant_1a;avustaja;ihmiset ammatit
367;care_assistant_1b;avustaja;ihmiset ammatit
368;care_assistant_2a;avustaja;ihmiset ammatit
369;care_assistant_2b;avustaja;ihmiset ammatit
370;care_assistant_3a;avustaja;ihmiset ammatit
371;care_assistant_3b;avustaja;ihmiset ammatit
372;care_assistant_4a;avustaja;ihmiset ammatit
373;care_assistant_4b;avustaja;ihmiset ammatit
374;care_assistant_5a;avustaja;ihmiset ammatit
375;care_assistant_5b;avustaja;ihmiset ammatit
376;care_assistant_6a;avustaja;ihmiset ammatit
377;care_assistant_6b;avustaja;ihmiset ammatit
378;caretaker_1a;ohjaaja;ihmiset ammatit
379;caretaker_1b;ohjaaja;ihmiset ammatit
380;caretaker_2a;ohjaaja;ihmiset ammatit
381;caretaker_2b;ohjaaja;ihmiset ammatit
382;carol_singer;kuorolaulaja;uskonto henkilö
383;carpenter_1a;puuseppä;ihmiset ammatit
384;carpenter_1b;puuseppä;ihmiset ammatit
385;carpenter_2a;puuseppä;ihmiset ammatit
386;carpenter_2b;puuseppä;ihmiset ammatit
387;carrot;porkkana;ruoka vihannekset ja salaatit
388;cart;kärry;liikenne tieliikenne
389;carton_1;purkki;juomat astiat ja määrät
390;carton_2;purkki;juomat astiat ja määrät
391;cash_point;raha-automaatti;talous
392;cashew;cashew;ruoka pähkinät
393;casserole;pata;ruoka välineet
394;casserole_1;vihannespata;ruoka välineet
395;casserole_2;lihapata;ruoka välineet
396;cassette_tape;kasetti;tekniikka media
397;castle;linna;rakennukset julkiset
398;castor_sugar;tomusokeri;ruoka ainekset
399;cat;kissa;eläimet nisäkkäät
400;cat_bed;kissanpeti;eläimet elinympäristö
401;cat_biscuits;kissan keksit;eläimet ruokinta
402;cat_food;kissanruoka;eläimet ruokinta
403;caterpillar;toukka;eläimet hämähäkit ja hyönteiset
404;catherine_wheel;viuhka;juhlat välineet
405;cauliflower;kukkakaali;ruoka vihannekset ja salaatit
406;cctv;valvontakamera;tekniikka media
407;cd_player_personal;cd soitin;tekniikka media
408;ceiling;katto;rakennukset rakenne
409;ceiling_light;kattolamppu;rakennukset rakenne
410;celebrate_2_,_to;juhlia;juhlat tapahtumat
411;celebrate_3_,_to;juhlia;juhlat tapahtumat
412;celebrate_birthday;juhlia syntymäpäivää;juhlat tapahtumat
413;celebration;juhlat;juhlat tapahtumat
414;celeriac;selleri;ruoka vihannekset ja salaatit
415;celery;lehtiselleri;ruoka vihannekset ja salaatit
416;cement_mixer;betonimylly;työkalut työpaja
417;centipede;tuhatjalkainen;eläimet hämähäkit ja hyönteiset
418;cereal;aamiaismurot;ruoka viljatuotteet ja leivonta
419;cereal_bowl;murokulho;ruoka välineet
420;cereal_box_bran;murolaatikko;ruoka viljatuotteet ja leivonta
421;cereal_box_museli;myslilaatikko;ruoka viljatuotteet ja leivonta
422;cereal_bran;murot;ruoka viljatuotteet ja leivonta
423;cereal_museli;mysli;ruoka viljatuotteet ja leivonta
424;certificate;todistus;työ ja koulu
425;chair;tuoli;rakennukset huonekalut
426;chair_computer;toimistotuoli;rakennukset huonekalut
427;chair_dining;ruokatuoli;rakennukset huonekalut
428;chair_wing_back;nojatuoli;rakennukset huonekalut
429;chaise_lounge;rahi;rakennukset huonekalut
430;chalk;liitutaulu;työ ja koulu
431;chameleon;kameleontti;eläimet matelijat
432;champagne;samppanja;juomat
433;chandelier;kattokruunu;rakennukset tarvikkeet
434;change_nappy_,_to;vaihtaa vaippa;terveys hoitotoimet
435;change_tv_channel_,_to;vaihtaa kanava;tekniikka tv
436;channel_bbc_1;tv kanava;tekniikka tv
437;chapatti;chapati;ruoka viljatuotteet ja leivonta
438;charge;varaus;tekniikka muut
439;charger_electric;laturi;tekniikka puhelin
440;cheek;poski;terveys kehonosat
441;cheese;juusto;ruoka maitotuotteet
442;cheese_brie;brie-juusto;ruoka maitotuotteet
443;cheese_burger;juustohampurilainen;ruoka annokset
444;cheese_grated;juustoraaste;ruoka maitotuotteet
445;cheese_on_toast_,_melted;juustoleipä;ruoka annokset
446;cheese_slices;viipalejuusto;ruoka maitotuotteet
447;cheese_stilton;homejuusto;ruoka maitotuotteet
448;cheetah;gebardi;eläimet nisäkkäät
449;cheque_book;sekkivihko;talous
450;cherry;kirsikka;ruoka hedelmät
451;chest_female;rintakehä;terveys kehonosat
452;chest_male;rintakehä;terveys kehonosat
453;chest_of_drawers;lipasto;rakennukset huonekalut
454;chestnuts;kastanja;ruoka pähkinät
455;chewing_gum;purukumi;ruoka jälkiruuat ja herkut
456;chewy_tube;purulelu;ruoka ruokailu
457;chick;tipu;eläimet linnut
458;chicken;kana;ruoka siipikarja
459;chicken_breast;kanan rintapala;ruoka siipikarja
460;chicken_deep_fried;friteerattu kana;ruoka siipikarja
461;chicken_house;kanala;eläimet elinympäristö
462;chicken_leg;kanankoipi;ruoka siipikarja
463;chicken_live;kana;eläimet linnut
464;chicken_nuggets;kananugetit;ruoka siipikarja
465;chicken_pieces;kananliha;ruoka siipikarja
466;chicken_run;kananjuoksu;eläimet elinympäristö
467;childrens_tv;lasten kanava;tekniikka tv
468;chilli_pepper;chili;ruoka vihannekset ja salaatit
469;chimney;savupiippu;rakennukset rakenne
470;chimpanzee;simpanssi;eläimet nisäkkäät
471;chin;leuka;terveys kehonosat
472;chinese_cabbage;kiinankaali;ruoka vihannekset ja salaatit
473;chinese_food;kiinalainen ruoka;ruoka annokset
474;chip_and_pin_device;maksupääte;talous
475;chipmunk;maaorava;eläimet nisäkkäät
476;chipmunk_2;maaorava;eläimet nisäkkäät
477;chipmunk_3;maaorava;eläimet nisäkkäät
478;chips;ranskalaiset perunat;ruoka vihannekset ja salaatit
479;chips_packet;ranskalaiset perunat;ruoka vihannekset ja salaatit
480;chisel;taltta;työkalut työpaja
481;chocolate;suklaa;ruoka jälkiruuat ja herkut
482;chocolate_bar;suklaalevy;ruoka jälkiruuat ja herkut
483;chocolate_box;konvehtit;ruoka jälkiruuat ja herkut
484;chocolate_chips;suklaamuru;ruoka jälkiruuat ja herkut
485;chocolate_egg;suklaamuna;ruoka jälkiruuat ja herkut
486;chocolate_log;kääretorttu;ruoka viljatuotteet ja leivonta
487;chop_,_to;pilkkoa;ruoka ruuanlaitto
488;chopping_board;leikkuulauta;ruoka välineet
489;christian;kristitty;uskonto yleiset
490;christmas;joulu;uskonto juhlapäivä
491;christmas_bauble;kuusenkoriste;juhlat välineet
492;christmas_bell;joulukello;juhlat välineet
493;christmas_cake;joulukakku;ruoka viljatuotteet ja leivonta
494;christmas_day;joulupäivä;uskonto juhlapäivä
495;christmas_decorations;joulukoristeet;juhlat välineet
496;christmas_eve;jouluaatto;uskonto juhlapäivä
497;christmas_lights;jouluvalot;juhlat välineet
498;christmas_pudding;jouluvanukas;ruoka viljatuotteet ja leivonta
499;christmas_sock;joulusukka;juhlat välineet
500;christmas_tree;joulukuusi;juhlat välineet
501;christmas_wreath;jouluseppele;juhlat välineet
502;church;kirkko;rakennukset julkiset
503;cigarette;tupakka;vapaa-aika muut
504;circle;ympyrä;kuvaileva muoto
505;circle_time;ryhmätyö;työ ja koulu
506;circuit;piiri;tekniikka muut
507;clamp;puristin;työkalut työpaja
508;class_room;luokkahuone;rakennukset koulu
509;claw;kynsi;eläimet ominaisuudet
510;clay;savi;tiede
511;clean_dishes;tiskata;kuvaileva tila
512;clean_hands;pestä kädet;terveys hoitotoimet
513;clean_room;puhdas huone;kuvaileva tila
514;clean_shoes_,_to;puhdistaa kengät;rakennukset kotityöt
515;clean_window_,_to;pestä ikkuna;rakennukset kotityöt
516;cleaner_1a;siivooja;ihmiset ammatit
517;cleaner_1b;siivooja;ihmiset ammatit
518;cleaner_2a;siivooja;ihmiset ammatit
519;cleaner_2b;siivooja;ihmiset ammatit
520;cleaner_spray;pesuaine;rakennukset tarvikkeet
521;cleaning_box;siivousvälineet;rakennukset tarvikkeet
522;climbing_rock;vuorikiipeily;urheilu urheiluvälineet
523;climbing_wall;kiipeilyseinä;urheilu urheiluvälineet
524;clingfilm;talouskelmu;ruoka välineet
525;clip_nails_,_to;leikata kynnet;terveys hoitotoimet
526;clipboard;kirjoituslevy;taide
527;clock;kello;tekniikka muut
528;clock_radio;kelloradio;tekniikka muut
529;close_to;lähellä;kuvaileva sijainti
530;closed;suljettu;kuvaileva sijainti
531;closed_shop;suljettu kauppa;rakennukset kauppa
532;clothes_extra_large;erittäin isot vaatteet;kuvaileva määrä
533;clothes_female;naisten vaatteet;vaatteet muut
534;clothes_generic;vaatteet;vaatteet muut
535;clothes_hanger;henkari;rakennukset tarvikkeet
536;clothes_large;isot vaatteet;kuvaileva määrä
537;clothes_male;miesten vaatteet;vaatteet muut
538;clothes_medium;keskikokoiset vaatteet;kuvaileva määrä
539;clothes_neat;siistit vaatteet;kuvaileva tila
540;clothes_peg;pyykkipoika;rakennukset tarvikkeet
541;clothes_small;pienet vaatteet;kuvaileva määrä
542;cloudy;pilvinen;ympäristö sää
543;clover;apila;kasvit ja puut
544;coach;bussi;liikenne tieliikenne
545;coat;päällystakki;vaatteet muut
546;coated_spoon;lusikka;ruoka ruokailu
547;cockatiel;neitokakadu;eläimet linnut
548;cockerel;kukonpoika;eläimet linnut
549;coconut;kookospähkinä;ruoka pähkinät
550;coffee;kahvi;juomat
551;coffee_instant;pikakahvi;juomat
552;coffee_maker;kahvinkeitin;ruoka välineet
553;coffee_table;kahvipöytä;rakennukset huonekalut
554;colander;siivilä;ruoka välineet
555;collar_1;kaulus;vaatteet muut
556;collar_pet;kaulapanta;eläimet eläintenhoito
557;colour;väri;taide värit
558;coloured_paper;väripaperi;taide
559;colouring_book;värityskirja;vapaa-aika lelut
560;comb;kampa;terveys hoitotarvikkeet
561;comb_animal_,_to;harjata;eläimet eläintenhoito
562;comedy_tv;komedia;tekniikka tv
563;comet;komeetta;tiede tähtitiede
564;communication_aid;kommunikointilaite;apuvälineet
565;communication_aid_2;kommunikointilaite;apuvälineet
566;communication_aid_chat_2;kommunikointilaite;apuvälineet
567;communication_aid_gotalk_9p;kommunikointilaite gotalk;apuvälineet
568;communication_aid_listen_to_me;kommunikointilaite;apuvälineet
569;communication_aid_scan4;kommunikointilaite;apuvälineet
