fileName;synonyms;closestWords;relatedWords;categories
air_person_2b.svg;lentäjä&ilmailija&lentokoneen ohjaaja&ilmalaivan ohjaaja&ilmapurjehtija&pilotti;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&perämies&kamikazelentäjä&koulutettu työntekijä&koelentäjä&siipimies&floyd bennett&louis bleriot&jacqueline cochran&james harold doolittle&amelia earhart&howard robard hughes&lucky lindy&billy mitchell&wiley post&liitelijä;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&lentoperämies&toinen lentäjä&perämies&itsemurhalentäjä&kamikazelentäjä&ammattitaitoinen työntekijä&koulutettu työntekijä&koelentäjä&siipimies&Bennett&Floyd Bennett&Bleriot&Louis Bleriot&Cochran&Jacqueline Cochran&Doolittle&Jimmy Doolittle&James Harold Doolittle&Earhart&Amelia Earhart&Hughes&Howard Hughes&Howard Robard Hughes&Lindbergh&Charles Lindbergh&Charles A. Lindbergh&Charles Augustus Lindbergh&Lucky Lindy&Mitchell&William Mitchell&Billy Mitchell&Post&Wiley Post;ihmiset & ammatit
air_steward_1a.svg;lentoemäntä&stuertti&lentoemo;apulainen;avustaja&hoitaja&palvelija&apulainen;ihmiset & ammatit
air_steward_1b.svg;lentoemäntä&stuertti&lentoemo;apulainen;avustaja&hoitaja&palvelija&apulainen;ihmiset & ammatit
air_steward_2a.svg;lentoemäntä&stuertti&lentoemo;apulainen;avustaja&hoitaja&palvelija&apulainen;ihmiset & ammatit
air_steward_2b.svg;lentoemäntä&stuertti&lentoemo;apulainen;avustaja&hoitaja&palvelija&apulainen;ihmiset & ammatit
airways.svg;hengityskanava;;;terveys & kehonosat & raajat & elimet
algebra_class.svg;matematiikka&matikka;tieteenala&puhdas matematiikka&sovellettu matematiikka&matemático&laskento-oppi&mathemateg&matematika;tiede&tieteenala&puhdas matematiikka&sovellettu matematiikka;laskutoimitukset & numerot & matematiikka & matikka
algebra_formula.svg;matematiikan kaava;;;laskutoimitukset & numerot & matematiikka & matikka
almond.svg;manteli&makea manteli&mantelipuu&Prunus dulcis&Prunus amygdalus&Amygdalus communis;syötävä pähkinä&konfetti&amygdalus communis&luumarja&mantelinvalkoinen&mantelinvärinen&amande;syötävä pähkinä&konfetti&luumarja;pähkinät & pähkinä & ruoka
ambulance.svg;ambulanssi&sairaankuljetusauto;automobiili&hullujenhuoneen ambulanssi&sairasauto;auto&ajoneuvo&moottoriajoneuvo&henkilöauto&automobiili&hullujenhuoneen ambulanssi;liikenne & tie & tieliikenne
angel.svg;enkeli;taivaallinen hierarkia&yliluonnollinen olento&buddha&arkkienkeli&kerubi&serafi&suojelusenkeli&jumalan sanansaattaja&fakiiri&hyvä ihminen&putto&rakas;taivaallinen hierarkia&hengellinen olento&yliluonnollinen olento&Buddha&arkkienkeli&kerubi&serafi&suojelusenkeli&Jumalan sanansaattaja&fakiiri&hyvä ihminen;uskonto & henkilö & henkilöt
angry_lady.svg;vihainen nainen;;;ihmiset & tunteet
angry_man.svg;vihainen mies;;;ihmiset & tunteet
ankle.svg;nilkka;articulatio plana;tasonivel&articulatio plana;terveys & kehonosat & raajat & elimet
answer.svg;vastaus&puolustus&ratkaisu&lopputulos&vastine&reaktio;lauseke&lausunto&välttelevä vastaus&non vult&vastaväite&lykkäävä väite&vetoaminen mielenvikaisuuteen&voimakas vastustus&loppuratkaisu&reskripti&palaute&puhetoimitus&väärä johtopäätös&sivallus&kaiku&urim ja tummim&seuraus&toiminta&tieto&informaatio&oppiminen&replika&repliikki&appello&parannus&todistus;lauseke&lausunto&välttelevä vastaus&nolo contendere&non vult&vastaväite&lykkäävä väite&vetoaminen mielenvikaisuuteen&voimakas vastustus&loppuratkaisu&reskripti&palaute&puheakti&puhetoimitus&väärä johtopäätös&kipakka vastaus&vastaisku&repliikki&iskevä vastaus&vastakaiku&vastaliike&heitto&sivallus&kaiku&Urim ja Tummim&kumoaminen&seuraus;laskutoimitukset & numerot & matematiikka & matikka
ant.svg;muurahainen&kusiainen;pistiäiset&formicidae-heimo&monomorium pharaonis&monomorium minimum&sotilasmuurahainen&hevosmuurahainen&tulimuurahainen&formica rufa&orjamuurahainen&amatsonimuurahainen&bulldoggimuurahainen&murkku;pistiäishyönteinen&pistiäiset&muurahaiset&Formicidae-heimo&faaraomuurahainen&Monomorium pharaonis&pieni musta muurahainen&Monomorium minimum&sotilasmuurahainen&hevosmuurahainen&tulimuurahainen&kekomuurahainen&Formica rufa&orjamuurahainen&amatsonimuurahainen&bulldoggimuurahainen;eläimet & hämähäkit & hyönteiset
ant_eater.svg;muurahaiskarhu&pussimuurahaiskarhu&Myrmecobius fasciatus&numbatti&maasika&Orycteropus afer&uuden maailman muurahaiskarhu&Myrmecophaga jubata&tamandua&kaguaari&Tamandua tetradactyla;pussipeto&numbattien suku&istukkanisäkäs&termiittikaivajien suku&orycteropus afer&vajaahampainen&muurahaiskarhujen heimo&isojurumien suku&myrmecophaga jubata&cyclopes didactylus&suku tamanduat&tamandua tetradactyla;pussipeto&numbatit&numbattien suku&istukallinen&istukallinen nisäkäs&istukkanisäkäs&termiittikaivajat&termiittikaivajien suku&hampaaton&vajaahampainen&muurahaiskarhut&muurahaiskarhujen heimo&isojurumit&isojurumien suku&pikkumuurahaiskarhu&Cyclopes didactylus&suku Tamanduat;nisäkkäät & eläimet
antelope.svg;antilooppi;onttosarvinen&antilope cervicapra&kirahviantilooppi&addax nasomaculatus&gnuu&dikdiki&lehmäantilooppi&damaliscus lunatus&aepyceros melampus&gaselli&boocercus eurycerus&kudu-antilooppi&harnessed antelope&tragelaphus buxtoni&boselaphus tragocamelus&hippotragus niger&saiga tatarica&raphicerus campestris&hirviantilooppi&vesiantilooppi&adenota vardoni&keihäsantilooppi&saiga;onttosarvinen&besoaariantilooppi&Antilope cervicapra&gerenukki&Litocranius walleri&kirahviantilooppi&saharanantilooppi&Addax nasomaculatus&gnuu&dikidiki&dikdiki&lehmäantilooppi&sassabianantilooppi&Damaliscus lunatus&impala&Aepyceros melampus&gaselli&bongo&Tragelaphus eurycerus&Boocercus eurycerus&kudu-antilooppi&harnessed antelope&vuorinjala&Tragelaphus buxtoni&nilgau&Boselaphus tragocamelus&mustahevosantilooppi&Hippotragus niger&Saiga-antilooppi&Saiga tatarica&puna-antilooppi&Raphicerus campestris&hirviantilooppi&vesiantilooppi&puku&Adenota vardoni&keihäsantilooppi;nisäkkäät & eläimet
apple.svg;omena&tarhaomenapuu&Malus pumila&omenapuu;syötävä hedelmä&metsäomena&syöntiomena&ruokaomena&malus-suku&siemenhedelmä&omppu&pomme&eple&quả táo&apple butter&pumu&사과&obuolys&jabloň&jabłko&õun&pear&píngguǒ;syötävä hedelmä&metsäomena&syöntiomena&ruokaomena&omenapuut&Malus-suku&siemenhedelmä;ruoka & hedelmät & kasvikset
apple_juice.svg;omena mehu;;;juomat
apricot.svg;aprikoosi&kellertävä pinkki&persikanväri&lohenpunainen&aprikoosipuu&Prunus armeniaca;vaaleanpunainen&syötävä hedelmä&prunus-suku&prunus mume&prunus armeniaca&prunus dasycarpa&hedelmäpuu;vaaleanpunainen&syötävä hedelmä&Prunus&Prunus-suku&japaninaprikoosi&Prunus mume&Prunus dasycarpa&hedelmäpuu;ruoka & hedelmät & kasvikset
apron.svg;esiliina&essu&liivihame&kaitsija&seuranainen;mekko&suojavaatetus&vahti&sudenpentuvartion johtaja&asuntolanjohtaja&suoja;leninki&mekko&suojavaatetus&puolustaja&vartija&suojelija&vahti&sudenpentuvartion johtaja&asuntolanjohtaja;työkalut & työpaja & käsityö & käsityöt
aquarium.svg;akvaario&merimuseo;kalamalja&marineland&säiliö&terraario;kultakalamalja&kalamalja&Marineland&tankki&säiliö&terraario;eläimet & elinympäristö & ympäristö & metsä
arch_lever_file.svg;mappi&kansio&rengaskansio&rengasvihko;suojaus;suojus&suojapeite&suojaus;työ & koulu & opiskelu
archery.svg;jousiammunta;yleisurheilu;urheilu&yleisurheilu;urheilu
archery_target.svg;jousiammunta maali;;;urheilu & urheiluvälineet & välineet & varusteet & urheiluvarusteet
arm.svg;käsi&käsivarsi&manus&koura&käpälä&tassu;jalka&etukäpälä&kämmen&handu;etukäpälä&kahdeksikko&kahdeksan&kasi&-kko&-kkö&jäsen&raaja&nyrkki&kädet&nyrkit&kourat&oikea käsi&vasen käsi&korttikäsi&jako&kuningasvärisuora&värisuora&täyskäsi&väri&suora&pari&luku&numero&8&VIII;terveys & kehonosat & raajat & elimet
arm_chair.svg;nojatuoli&laiskanlinna&aurinkotuoli;kapteenin tuoli&tuoli;kapteenin tuoli&tuoli;huonekalut & rakennukset & sisustus
arms.svg;kädet&nyrkit&kourat;tassu;käsi&manus&koura&käpälä&tassu;terveys & kehonosat & raajat & elimet
armwrestle_,_to.svg;kädenvääntö;;;vapaa-aika & pelit
army_tank.svg;panssarivaunu&tankki&hyökkäysvaunu;panssariajoneuvo&sotilasajoneuvo&telaketjuajoneuvo&tankkeri&main battle tank&aquarium;panssariajoneuvo&sotilasajoneuvo&telaketjuajoneuvo;sotilaallinen
around.svg;ympärillä;ympäri|ympäri;koskea & kuulua asiaan & liittyä & olla tekemistä & viitata;suunta & kuvaileva
arrow_keys.svg;nuolinäppäimet;;;tietotekniikka
art.svg;taide&taiteellinen luomus&taideteos&taideaineet;luova toiminta&taideteollisuus&keramiikka&siirtopainokuvamenetelmä&decoupage&suunnittelu&kaivertaminen&gastronomia&origami&maalaustaide&hajuvesien valmistus&grafiikka&kuvanveistotaide&muotoleikkaus&arkkitehtuuri&yleissivistävät aineet&nykytaide&rakennustaide&tanssitaide;luominen&luova toiminta&taidekäsityö&taideteollisuus&keramiikan valmistus&keramiikka&siirtopainokuvamenetelmä&decoupage&piirtäminen&suunnittelu&kaivertaminen&gastronomia&origami&maalaaminen&maalaustaide&hajuvesien valmistus&grafiikka&kuvanveisto&kuvanveistotaide&muotoleikkaus&arkkitehtuuri&humanistiset tieteet&yleissivistävät aineet&nykytaide&rakennustaide&tanssitaide;taide
art_class.svg;kuvaamataito;oppitunnit&elävän mallin kurssi;kurssi&opintojakso&opetusjakso&oppitunnit&elävän mallin kurssi;työ & koulu & opiskelu
art_room.svg;kuvaamataidon luokka;;;koulu & rakennukset
artichoke.svg;artisokka&latva-artisokka&artisokkakasvi;kasvis&cynara-suku;vihannes&kasvis&Cynara&Cynara-suku;ruoka & vihannekset & salaatit & kasvikset
artist_palette.svg;paletti&väripaletti;levy&ulottuvuus;levy&kantomatka&kantama&toimintasäde&piiri&etäisyys&näkyvyysalue&alue&ulottuvuus;taide
Ash_Wednesday.svg;tuhkakeskiviikko;kristillinen pyhäpäivä;kristillinen pyhäpäivä;uskonto & juhlapäivä & juhlapäivä & uskonnot
asparagus.svg;parsa&tankoparsa&Asparagus officinalis&Ornithogalum pyrenaicum;kasvis&ruoho&suku asparagus&asparagus officinalis&afrikantähdikki&ornithogalum pyrenaicum;vihannes&kasvis&ruohokasvi&ruohovartinen kasvi&ruoho&suku Asparagus&afrikantähdikki;ruoka & vihannekset & salaatit & kasvikset
assembly.svg;kokous;tapaaminen&sessio&sosialisointi&käynti&vierailu&laitos&ryhmä&lainsäädäntöelin&areopagos&valtiopäivät&veljeskunnan kokous&pohdiskelukokous&neuvottelu&kirkolliskokous&kamari&tuomioistuin&istunto&noitien kokous&noitasapatti&edustajakokous&kesäkokous&kevätkokous&liittokokous&ministerikokous&piirikokous&syyskokous&ulkoministerikokous&vuosikokous&palaveri&konferenssi&keskustelu&kongressi;tapaaminen&istunto&sessio&sosialisointi&käynti&vierailu&laitos&joukko&ryhmä&lainsäädäntöelin&Areopagi&Areopagos&valtiopäivät&tuomiokapitulin kokous&veljeskunnan kokous&pohdiskelukokous&neuvottelu&kirkolliskokous&kamari&tuomari&tuomarikunta&tuomarit&tuomioistuin&oikeudenistunto&noitien kokous&noitasapatti&edustajakokous&kesäkokous&kevätkokous&liittokokous&ministerikokous&piirikokous&syyskokous&ulkoministerikokous&vuosikokous;työ & koulu & opiskelu
at_key.svg;ät-merkki;;;tietotekniikka
atom.svg;atomi;materia&isotooppi&hiiliatomi&vetyatomi&radikaali&perushiukkanen;aine&substanssi&materia&isotooppi&hiiliatomi&vetyatomi&vapaa radikaali&radikaali;tiede
aubergine.svg;munakoiso&Solanum melongena;solanaceae-heimon vihannes&ruoho&suku solanum&solanum melongena;Solanaceae-heimon vihannes&ruohokasvi&ruohovartinen kasvi&ruoho&Solanum&suku Solanum;ruoka & vihannekset & salaatit & kasvikset
aunt_maternal.svg;täti&nainen;korkea-arvoinen nainen&elokuvantekijä&isotäti&naissukulainen&vanhapiikatäti&aikuinen nainen&jacques tatischeff&sukulainen;korkea-arvoinen nainen&elokuvatuottaja&elokuvantekijä&isotäti&naissukulainen&vanhapiikatäti&aikuinen nainen&Tati&Jacques Tati&Jacques Tatischeff;suhteet & ihmissuhteet & ihmiset
aunt_paternal.svg;täti&nainen;korkea-arvoinen nainen&elokuvantekijä&isotäti&naissukulainen&vanhapiikatäti&aikuinen nainen&jacques tatischeff&sukulainen;korkea-arvoinen nainen&elokuvatuottaja&elokuvantekijä&isotäti&naissukulainen&vanhapiikatäti&aikuinen nainen&Tati&Jacques Tati&Jacques Tatischeff;suhteet & ihmissuhteet & ihmiset
auroscope.svg;otoskooppi;;;hoitotarvikkeet & terveys & sairaalatarvikkeet & sairaala & terveyskeskus
autumn.svg;syksy;vuodenaika&alkusyksy&loppusyksy&syys&periodi&lukukausi&aika&sadonkorjuu;kausi&vuodenaika&alkusyksy&loppusyksy;kuvaileva & aika
avocado.svg;avokado;syötävä hedelmä;syötävä hedelmä;ruoka & vihannekset & salaatit & kasvikset
awake.svg;hereillä&avoimin silmin&valpas&varuillaan&valveilla&tarkkaavainen&pirteä&reipas;virkeä&herätetty&uneton&valvova&hereillä olo&tietävä&tietoinen&aikuistua&jalkeilla&ups;tarkkaava&virkeä&jalkeilla oleva&jalkeilla&ylhäällä&herätetty&unettomuudesta kärsivä&uneton&valvova&hereillä olo&selvillä jstak&tietoinen&tietävä&tajuissaan oleva&tajuissaan;tila & kuvaileva
away.svg;poissa;toimeton&kadonnut&poissaoleva&kateissa&kauaksi&irtisanoa&ulos&kilpailuttaa&savuta&pois&kaikonnut&magh&häviksissä&paossa&matkoilla&tiessään&veke&käpälämäessä&hävinnyt&luota&amok&veks&ulkona&esiin&esillä&kuollut;toimeton&kadotettu&menetetty&kadonnut&poissaoleva;suunta & kuvaileva
B.svg;b&basilli&sauvabakteeri&B&tyyppi B&B-veriryhmä&B-ryhmä&barni&beli&boori&järjestysluku 5;pernaruttobasilli&sairauksia aiheuttamaton basilli&yersinia pestis -bakteeri&aitobakteerit&suku bacillus&veriryhmä&b-ryhmä&latinalaiset aakkoset&aakkonen&pintamitta&äänen yksikkö&alkuaine&booraksi&kerniitti;pernaruttobasilli&sairauksia aiheuttamaton basilli&Yersinia pestis -bakteeri&eubakteerit&aitobakteerit&suku Bacillus&veriryhmä&latinalaiset kirjaimet&latinalaiset aakkoset&kirjain&aakkoskirjain&aakkonen&pinta-alayksikkö&pintamitta&äänen yksikkö&alkuaine&booraksi&kerniitti;aakkoset
b_-_lower_case.svg;b&basilli&sauvabakteeri&B&tyyppi B&B-veriryhmä&B-ryhmä&barni&beli&boori&järjestysluku 5;pernaruttobasilli&sairauksia aiheuttamaton basilli&yersinia pestis -bakteeri&aitobakteerit&suku bacillus&veriryhmä&b-ryhmä&latinalaiset aakkoset&aakkonen&pintamitta&äänen yksikkö&alkuaine&booraksi&kerniitti;pernaruttobasilli&sairauksia aiheuttamaton basilli&Yersinia pestis -bakteeri&eubakteerit&aitobakteerit&suku Bacillus&veriryhmä&latinalaiset kirjaimet&latinalaiset aakkoset&kirjain&aakkoskirjain&aakkonen&pinta-alayksikkö&pintamitta&äänen yksikkö&alkuaine&booraksi&kerniitti;aakkoset
baby.svg;vauva&kuopus&pienokainen&pikkulapsi&lapsi;henki&sylilapsi&beibi&pikkuinen&kersa&nappula&käärö&sinappikone&nyytti&masuasukki&vaavi&imeväinen&hippiäinen&pöppiäinen&bébé&nöppiäinen&pikkunappula&elämän ihme&pieni ihme;henkilö&ihminen&henki&methemoglobinemia&vauvan syanoosi&pyöreäposkinen pikkulapsi&lapsukainen&löytölapsi&kummilapsi&vastasyntynyt&vastasyntynyt lapsi&vastasyntynyt vauva&sylilapsi&imeväinen&rintalapsi&jälkikasvu&jälkeläiset&lapset&intiaanilapsi&papuusi&koeputkilapsi&sotalapsi;ihmiset & kuvaileva
baby_oil.svg;vauvaöljy;salva;voide&balsami&salva;hoitotarvikkeet & terveys
baby_powder.svg;vauvatalkki;puuteri;jauhe&pulveri&puuteri;hoitotarvikkeet & terveys
back.svg;selkä&selkäpuoli&kirjanselkä;laki&selkänoja&selusta&ulappa&tausta&tagg&takaraivo;osa&ruumiinosa;terveys & kehonosat & raajat & elimet
back_1.svg;selkä&selkäpuoli&kirjanselkä;laki&selkänoja&selusta&ulappa&tausta&tagg&takaraivo;osa&ruumiinosa;terveys & kehonosat & raajat & elimet
back_ache.svg;selkäkipu&selkäsärky&selkäkivut;särky&ristiselkäkipu;kipu&särky&noidannuoli&ristiselkäkipu;terveydentila & terveys & sairaus & sairaudet
back_garden.svg;takapiha&etupiha;piha-alue;pihamaa&piha&piha-alue;rakennukset & puutarha & maatila
backstop.svg;taustaverkko;;;urheilu & urheiluvälineet & välineet & varusteet & urheiluvarusteet
backwards.svg;taaksepäin&taaksepäin suuntautuva;;;suunta & kuvaileva
bacon.svg;pekoni;sianlihaviipale&siankylki&siankyljen takaosa&pekonisuikale&tocino&speck&slanina;sianlihaviipale&savustettu siankylki&siankylki&siankyljen takaosa&pekonisuikale;ruoka & liha
